proxtarg,disttarg,ptdl,dtdl,proxang,distang,prox_x,prox_y,dist_x,dist_y,dp,tpeff,tdeff
15.0,60.0,-0.538498277,5.879205788,9.245272115838887,71.50945576659242,3.363050846162664,32.79067532605188,24.72834995682045,47.86547501648925,2.174247536916636,0.548625491458318,4.243456528083364
30.0,-60.0,3.231562921,-3.231562921,44.387625426033125,-88.77525085206625,15.177624810662465,28.338555237524478,9.794193385664801,52.93792704974705,-1.1950964083816449,2.634014716809178,-5.268029433618356
30.0,-45.0,2.86873115,-1.978613231,42.17754384919746,-69.35508769025739,14.513507997039092,28.77639975533716,13.604696686722068,55.01632204279208,-0.7317306281051063,2.5028658359474467,-4.115613752894894
30.0,-30.0,2.505899379,-0.725663542,39.96746226924578,-49.93492453906814,13.835725723106869,29.194790443369676,17.724944023108137,56.0003793133989,-0.2683648481983876,2.3717169549008066,-2.963198072801613
30.0,-15.0,2.143067608,0.527286148,37.757380692410116,-27.22866419808419,13.144899721679291,29.59328261504438,22.854250509579792,55.56382268729782,0.19500093207815106,2.2405680740390754,-1.61578146
30.0,0.0,1.780235837,1.780235837,35.54729911245841,0.0,12.441666569316224,29.97145239861451,28.72016182823642,52.75325636812739,0.6583667119848697,2.109419192992435,0.0
30.0,15.0,1.417404066,3.033185527,33.337217535622756,8.325564935738841,11.726676977175986,30.32889723708552,29.183269731708542,52.188221278681596,1.1217324922614083,1.9782703121307041,0.49404896873859183
30.0,30.0,1.054572295,4.286135216,31.127135955671058,27.745728086928093,11.00059504880262,30.66523637171208,31.82688971085048,48.95254993540492,1.5850982721681268,1.8471214310840636,1.646464648831873
30.0,45.0,0.691740524,5.539084905,28.917054375719356,47.16589123811735,10.264097536402977,30.980111291850292,33.531275263878236,45.03705587927027,2.048464052074846,1.715972550037423,2.7988803289251543
30.0,60.0,0.328908753,6.792034595,26.706972798883694,66.5860543999262,9.517873071615938,31.2731861637072,34.16879397854162,40.69305217655271,2.511829832351384,1.5848236691756918,3.951296009648616
45.0,-60.0,4.143633599,-2.363397762,62.462810458926434,-94.92562091842947,20.022899244853434,24.091023055469698,20.765892382421477,48.873931338648426,-0.8740316206095675,3.7066177886952163,-5.632999740390432
