,DistTarget,Method,TDL
230,15,NewProx,2.14240193155361
231,30,NewProx,1.61445010755590
232,45,NewProx,1.08649828355819
233,60,NewProx,0.558546459560485
234,-60,NewProx,5.67227897005927
235,-45,NewProx,5.14432714606156
236,-30,NewProx,4.61637532206385
237,-15,NewProx,4.08842349806614
238,0,NewProx,3.56047167406843
239,15,NewProx,3.03251985007072
240,30,NewProx,2.50456802607301
241,45,NewProx,1.97661620207530
242,60,NewProx,1.44866437807759
243,-60,ECAVCDist,-8.424633173
244,-45,ECAVCDist,-7.208592798
245,-30,ECAVCDist,-5.992552424
246,-15,ECAVCDist,-4.776512049
247,0,ECAVCDist,-3.560471674
248,15,ECAVCDist,-2.344431299
249,30,ECAVCDist,-1.128390925
250,45,ECAVCDist,0.08764945
251,60,ECAVCDist,1.303689825
252,-60,ECAVCDist,-7.561016786
253,-45,ECAVCDist,-6.338351028
254,-30,ECAVCDist,-5.115685271
255,-15,ECAVCDist,-3.893019513
256,0,ECAVCDist,-2.670353756
257,15,ECAVCDist,-1.447687998
258,30,ECAVCDist,-0.22502224
259,45,ECAVCDist,0.997643517
260,60,ECAVCDist,2.220309275
261,-60,ECAVCDist,-6.696642271
262,-45,ECAVCDist,-5.467540662
263,-30,ECAVCDist,-4.238439054
264,-15,ECAVCDist,-3.009337445
265,0,ECAVCDist,-1.780235837
266,15,ECAVCDist,-0.551134229
267,30,ECAVCDist,0.67796738
268,45,ECAVCDist,1.907068988
269,60,ECAVCDist,3.136170596
270,-60,ECAVCDist,-5.831509626
271,-45,ECAVCDist,-4.596161699
272,-30,ECAVCDist,-3.360813772
273,-15,ECAVCDist,-2.125465845
274,0,ECAVCDist,-0.890117919
275,15,ECAVCDist,0.345230008
276,30,ECAVCDist,1.580577935
277,45,ECAVCDist,2.815925862
278,60,ECAVCDist,4.051273789
279,-60,ECAVCDist,-4.965618853
280,-45,ECAVCDist,-3.72421414
281,-30,ECAVCDist,-2.482809427
282,-15,ECAVCDist,-1.241404713
283,0,ECAVCDist,0.0
284,15,ECAVCDist,1.241404713
285,30,ECAVCDist,2.482809427
286,45,ECAVCDist,3.72421414
287,60,ECAVCDist,4.965618853
288,-60,ECAVCDist,-4.098969951
289,-45,ECAVCDist,-2.851697984
290,-30,ECAVCDist,-1.604426016
291,-15,ECAVCDist,-0.357154049
292,0,ECAVCDist,0.890117919
293,15,ECAVCDist,2.137389886
294,30,ECAVCDist,3.384661853
295,45,ECAVCDist,4.631933821
296,60,ECAVCDist,5.879205788
297,-60,ECAVCDist,-3.231562921
298,-45,ECAVCDist,-1.978613231
299,-30,ECAVCDist,-0.725663542
300,-15,ECAVCDist,0.527286148
301,0,ECAVCDist,1.780235837
302,15,ECAVCDist,3.033185527
303,30,ECAVCDist,4.286135216
304,45,ECAVCDist,5.539084905
305,60,ECAVCDist,6.792034595
306,-60,ECAVCDist,-2.363397762
307,-45,ECAVCDist,-1.104959882
308,-30,ECAVCDist,0.153477997
309,-15,ECAVCDist,1.411915876
310,0,ECAVCDist,2.670353756
311,15,ECAVCDist,3.928791635
312,30,ECAVCDist,5.187229514
